INDEX,L1_UTM_X,L1_UTM_Y,L1_KAPPA,R1_UTM_X,R1_UTM_Y,R1_KAPPA
114,250326.8210475841,3688295.020660946,0.06286273118770927,250328.19017248327,3688293.5459745084,0.296503567811952
115,250327.0835892367,3688295.3236338226,0.0288674667092179,250328.4538988873,3688293.8480700874,0.0920509841457553
116,250327.34604025938,3688295.626703999,0.08605692273026941,250328.71363013968,3688294.1535942457,0.11594266157802027
117,250327.6097030689,3688295.9287323044,0.14515689954623737,250328.97706293582,3688294.455954639,0.02813527385281929
118,250327.87096939288,3688296.2327480065,0.15427445003554396,250329.24032355103,3688294.758449023,0.047011234948972476
119,250328.1399975466,3688296.530033553,0.11896068724439109,250329.50717263186,3688295.0576945846,0.10323757258588971
120,250328.4134113189,3688296.8232445484,0.16001425500908628,250329.7767301368,3688295.354584627,0.06064731975060084
121,250328.68352058125,3688297.1194853517,0.02363465677864169,250330.04856834371,3688295.649395571,0.029488432204709168
122,250328.95822112836,3688297.4115019925,0.03244704231986306,250330.32164530712,3688295.9430543226,0.004189608479112833
123,250329.22955764903,3688297.7066057464,0.11065601721382495,250330.59656175348,3688296.234996167,0.16247575516547347
124,250329.5007487427,3688298.001626695,0.007688344662201749,250330.86361266868,3688296.5341469087,0.24040569998895692
125,250329.78293633455,3688298.286489119,0.2804103754127716,250331.14526576275,3688296.819597889,0.12350307021567047
126,250330.0542737935,3688298.5814710353,0.11960726253149723,250331.41952351463,3688297.1121650357,0.020848582848327742
127,250330.34193136884,3688298.8607128407,0.17031474418959103,250331.70236863624,3688297.396185537,0.054859368671927054
128,250330.61835185898,3688299.150843334,0.042241725089487314,250331.98674195216,3688297.678620567,0.1985791042487862
129,250330.88337344487,3688299.4516840987,0.02638725132535153,250332.25162811935,3688297.979720915,0.009194573310180951
130,250331.14183389477,3688299.7581533166,0.20874430953319226,250332.5163069728,3688298.2809969764,0.14608286826040762
131,250331.40584433352,3688300.059940845,0.5720694366084037,250332.77223581893,3688298.5896542384,0.19373770356514644
132,250331.6349881365,3688300.388747103,0.19992717000711485,250333.03058193528,3688298.8961963993,0.3717111664522596
133,250331.8735302877,3688300.710941049,0.03287400743164573,250333.2560356759,3688299.227869496,0.14696208186940868
134,250332.12751630115,3688301.020812606,0.39735096353157623,250333.4890460424,3688299.554331244,0.3039204978330137
135,250332.38717835254,3688301.325900221,0.2500975190158404,250333.7436753943,3688299.8637547423,0.10343228957409312
136,250332.63808334,3688301.6383700166,0.08061796262929832,250334.0012123578,3688300.170837776,0.41437297811293283
137,250332.89241413865,3688301.948180957,0.10457871272185074,250334.23958696367,3688300.493401586,0.20627100713843508
138,250333.15156098356,3688302.2540835184,0.03219932771413362,250334.49158933485,3688300.805255658,0.08626549345877657
139,250333.40751494342,3688302.5626598406,0.1925734587953007,250334.74398600633,3688301.116880074,0.10138768530007713
140,250333.6479301096,3688302.883510484,0.1864497283231452,250334.98805827112,3688301.4350295016,0.16898777426921777
141,250333.89888028754,3688303.1961807683,0.1681612593121055,250335.21928599747,3688301.762614761,0.14220926613911306
142,250334.16478616672,3688303.4961904255,0.12042021228929528,250335.4646083814,3688302.0797934127,0.15986217530378735
143,250334.42953458586,3688303.7972737188,0.17125658862982152,250335.72156162406,3688302.387692215,0.002756553363413313
144,250334.69911790005,3688304.0940203024,0.16313543236257474,250335.97939512812,3688302.69482708,0.06646206162278437
145,250334.9731683943,3688304.386645375,0.19379549065743085,250336.23776643773,3688303.0014635115,0.1143067862020239
146,250335.2475126831,3688304.678797487,0.05858173048416574,250336.50411497187,3688303.3012918043,0.13815059126454082
147,250335.51113885685,3688304.980869793,0.18227969712421857,250336.7587350764,3688303.6110342722,0.03279235330575874
148,250335.77049402898,3688305.2864646465,0.3133616854845052,250337.01183805362,3688303.92211824,0.28281651180206496
149,250336.03561041734,3688305.5871563163,0.16322522794027758,250337.2523055388,3688304.242579333,0.3030099422210654
150,250336.29924173962,3688305.889158852,0.03737428134575931,250337.5035036274,3688304.5551848277,0.09831814089245083
151,250336.56453230238,3688306.1897924207,0.5101908779492266,250337.75666018674,3688304.866131299,0.14247466592888955
152,250336.84705604866,3688306.4741538456,0.25776441772765374,250338.01210495917,3688305.1750739715,0.23488790026397957
153,250337.13335198924,3688306.7546558646,0.33411620772706135,250338.28684353238,3688305.467261723,0.17392809145525223
154,250337.3992758687,3688307.054699064,0.39022645957763025,250338.5424769353,3688305.7760696197,0.11715784981610641
155,250337.6813032986,3688307.3395770304,0.4414922213291554,250338.8034977591,3688306.0803388297,0.08522055014538728
156,250337.95718820565,3688307.629683657,0.04927714405523452,250339.06955605172,3688306.3804349652,0.295355057697751
157,250338.22146347756,3688307.9311391297,0.0515020110437279,250339.3140287811,3688306.6980612734,0.2219573049791458
